,customerID,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn,SeniorCitizen,tenure,MonthlyCharges,TotalCharges
16,8191-XWSZG,Female,No,No,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,No,0.0,52.0,20.65,1022.95
17,9959-WOFKT,Male,No,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),No,0.0,71.0,106.7,7382.25
18,4190-MFLUW,Female,Yes,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),Yes,0.0,10.0,55.2,528.35
19,4183-MYFRB,Female,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,No,0.0,21.0,90.05,1862.9
20,8779-QRDMV,Male,No,No,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,Yes,1.0,1.0,39.65,39.65
21,1680-VDCWW,Male,Yes,No,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),No,0.0,12.0,19.8,202.25
22,1066-JKSGK,Male,No,No,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,Yes,0.0,1.0,20.15,20.15
23,3638-WEABW,Female,Yes,No,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),No,0.0,58.0,59.9,3505.1
24,6322-HRPFA,Male,Yes,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),No,0.0,49.0,59.6,2970.3
25,6865-JZNKO,Female,No,No,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),No,0.0,30.0,55.3,1530.6
26,6467-CHFZW,Male,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,0.0,47.0,99.35,4749.15
27,8665-UTDHZ,Male,Yes,Yes,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,Yes,0.0,1.0,30.2,30.2
28,5248-YGIJN,Male,Yes,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No,0.0,72.0,90.25,6369.45
29,8773-HHUOZ,Female,No,Yes,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,Yes,0.0,17.0,64.7,1093.1
30,3841-NFECX,Female,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),No,1.0,71.0,96.35,6766.95
31,4929-XIHVW,Male,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),No,1.0,2.0,95.5,181.65
32,6827-IEAUQ,Female,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,No,0.0,27.0,66.15,1874.45
33,7310-EGVHZ,Male,No,No,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),No,0.0,1.0,20.2,20.2
34,3413-BMNZE,Male,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),No,1.0,1.0,45.25,45.25
35,6234-RAAPL,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),No,0.0,72.0,99.9,7251.7
36,6047-YHPVI,Male,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,0.0,5.0,69.7,316.9
37,6572-ADKRS,Female,No,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),No,0.0,46.0,74.8,3548.3
38,5380-WJKOV,Male,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,0.0,34.0,106.35,3549.25
39,8168-UQWWF,Female,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes,0.0,11.0,97.85,1105.4
40,8865-TNMNX,Male,Yes,Yes,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,No,0.0,10.0,49.55,475.7
41,9489-DEDVP,Female,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),No,0.0,70.0,69.2,4872.35
42,9867-JCZSP,Female,Yes,Yes,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,No,0.0,17.0,20.75,418.25
43,4671-VJLCL,Female,No,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),No,0.0,63.0,79.85,4861.45
44,4080-IIARD,Female,Yes,No,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,No,0.0,13.0,76.2,981.45
45,3714-NTNFO,Female,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,No,0.0,49.0,84.5,3906.7
46,5948-UJZLF,Male,No,No,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,No,0.0,2.0,49.25,97.0
47,7760-OYPDY,Female,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes,0.0,2.0,80.65,144.15
48,7639-LIAYI,Male,No,No,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No,0.0,52.0,79.75,4217.8
49,2954-PIBKO,Female,Yes,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),No,0.0,69.0,64.15,4254.1
50,8012-SOUDQ,Female,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,No,1.0,43.0,90.25,3838.75
51,9420-LOJKX,Female,No,No,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),Yes,0.0,15.0,99.1,1426.4
52,6575-SUVOI,Female,Yes,No,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),No,1.0,25.0,69.5,1752.65
53,7495-OOKFY,Female,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),Yes,1.0,8.0,80.65,633.3
54,4667-QONEA,Female,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),No,1.0,60.0,74.85,4456.35
55,1658-BYGOY,Male,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,1.0,18.0,95.45,1752.55
56,8769-KKTPH,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),No,0.0,63.0,99.65,6311.2
57,5067-XJQFU,Male,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,No,1.0,66.0,108.45,7076.35
58,3957-SQXML,Female,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),No,0.0,34.0,24.95,894.3
59,5954-BDFSG,Female,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No,0.0,72.0,107.5,7853.7
60,0434-CSFON,Female,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,No,0.0,47.0,100.5,4707.1
61,1215-FIGMP,Male,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),No,0.0,60.0,89.9,5450.7
62,0526-SXDJP,Male,Yes,No,No,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),No,0.0,72.0,42.1,2962.0
63,0557-ASKVU,Female,Yes,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),No,0.0,18.0,54.4,957.1
64,5698-BQJOH,Female,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,Yes,0.0,9.0,94.4,857.25
65,5122-CYFXA,Female,No,No,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No,0.0,3.0,75.3,244.1
66,8627-ZYGSZ,Male,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,No,0.0,47.0,78.9,3650.35
67,3410-YOQBQ,Female,No,No,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,No,0.0,31.0,79.2,2497.2
68,3170-NMYVV,Female,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),No,0.0,50.0,20.15,930.9
69,7410-OIEDU,Male,No,No,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,No,0.0,10.0,79.85,887.35
70,2273-QCKXA,Male,No,No,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,No,0.0,1.0,49.05,49.05
71,0731-EBJQB,Female,Yes,Yes,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,No,0.0,52.0,20.4,1090.65
72,1891-QRQSA,Male,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),No,1.0,64.0,111.6,7099.0
73,8028-PNXHQ,Male,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),No,0.0,62.0,24.25,1424.6
74,5630-AHZIL,Female,No,Yes,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),No,0.0,3.0,64.5,177.4
75,2673-CXQEU,Female,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,No,1.0,56.0,110.5,6139.5
76,6416-JNVRK,Female,No,No,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),No,0.0,46.0,55.65,2688.85
77,5590-ZSKRV,Female,Yes,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,No,0.0,8.0,54.65,482.25
78,0191-ZHSKZ,Male,No,No,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,No,1.0,30.0,74.75,2111.3
79,3887-PBQAO,Female,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),No,0.0,45.0,25.9,1216.6
80,5919-TMRGD,Female,No,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes,0.0,1.0,79.35,79.35
81,8108-UXRQN,Female,Yes,Yes,No,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,No,0.0,11.0,50.55,565.35
82,9191-MYQKX,Female,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes,0.0,7.0,75.15,496.9
83,9919-YLNNG,Female,No,No,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),No,0.0,42.0,103.8,4327.5
84,0318-ZOPWS,Female,Yes,No,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),No,0.0,49.0,20.15,973.35
85,4445-ZJNMU,Male,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),No,0.0,9.0,99.3,918.75
86,4808-YNLEU,Female,Yes,No,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),No,0.0,35.0,62.15,2215.45
87,1862-QRWPE,Female,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),No,0.0,48.0,20.65,1057.0
88,2796-NNUFI,Female,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,No,0.0,46.0,19.95,927.1
89,3016-KSVCP,Male,Yes,No,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,No,0.0,29.0,33.75,1009.25
90,4767-HZZHQ,Male,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),No,0.0,30.0,82.05,2570.2
91,2424-WVHPL,Male,No,No,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,No,1.0,1.0,74.7,74.7
92,7233-PAHHL,Male,Yes,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,No,0.0,66.0,84.0,5714.25
93,6067-NGCEU,Female,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),No,0.0,65.0,111.05,7107.0
94,9848-JQJTX,Male,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),No,0.0,72.0,100.9,7459.05
95,8637-XJIVR,Female,No,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,0.0,12.0,78.95,927.35
96,9803-FTJCG,Male,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),No,0.0,71.0,66.85,4748.7
97,0278-YXOOG,Male,No,No,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,Yes,0.0,5.0,21.05,113.85
98,3212-KXOCR,Male,No,No,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),No,0.0,52.0,21.0,1107.2
99,4598-XLKNJ,Female,Yes,No,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,1.0,25.0,98.5,2514.5
100,6380-ARCEH,Male,No,No,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,No,0.0,1.0,20.2,20.2
101,3679-XASPY,Female,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,No,0.0,1.0,19.45,19.45
102,7123-WQUHX,Male,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),No,0.0,38.0,95.0,3605.6
103,5386-THSLQ,Female,Yes,No,No,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),No,1.0,66.0,45.55,3027.25
104,3192-NQECA,Male,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),Yes,0.0,68.0,110.0,7611.85
105,6180-YBIQI,Male,No,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,No,0.0,5.0,24.3,100.2
106,6728-DKUCO,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,No,0.0,72.0,104.15,7303.05
107,9750-BOOHV,Female,No,No,No,No,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,No,0.0,32.0,30.15,927.65
108,8597-CWYHH,Male,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,No,0.0,43.0,94.35,3921.3
109,2848-YXSMW,Male,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),No,0.0,72.0,19.4,1363.25
110,0486-HECZI,Male,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes,0.0,55.0,96.75,5238.9
111,4549-ZDQYY,Female,No,No,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),No,0.0,52.0,57.95,3042.25
112,5712-AHQNN,Female,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,No,0.0,43.0,91.65,3954.1
113,4846-WHAFZ,Female,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,1.0,37.0,76.5,2868.15
114,5256-SKJGO,Female,Yes,Yes,No,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,No,0.0,64.0,54.6,3423.5
115,3071-VBYPO,Male,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,No,0.0,3.0,89.85,248.4
116,9560-BBZXK,Female,No,No,No,No,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),No,0.0,36.0,31.05,1126.35
117,5299-RULOA,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,0.0,10.0,100.25,1064.65
118,8402-OOOHJ,Female,No,No,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,No,0.0,41.0,20.65,835.15
119,9445-ZUEQE,Male,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),No,0.0,27.0,85.2,2151.6
120,1091-SOZGA,Female,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),No,0.0,56.0,99.8,5515.45
121,2928-HLDBA,Female,No,No,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,No,0.0,6.0,20.7,112.75
122,0404-SWRVG,Male,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,0.0,3.0,74.4,229.55
123,6497-TILVL,Female,Yes,Yes,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,No,0.0,7.0,50.7,350.35
124,7219-TLZHO,Female,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,No,0.0,4.0,20.85,62.9
125,4622-YNKIJ,Male,No,No,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,No,0.0,33.0,88.95,3027.65
126,4412-YLTKF,Female,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,Yes,1.0,27.0,78.05,2135.5
127,6734-PSBAW,Male,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),No,0.0,72.0,23.55,1723.95
128,3930-ZGWVE,Male,No,No,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,No,0.0,1.0,19.75,19.75
129,2639-UGMAZ,Male,No,No,No,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,No,1.0,71.0,56.45,3985.35
130,2876-GZYZC,Female,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,No,0.0,13.0,85.95,1215.65
131,6207-WIOLX,Female,Yes,Yes,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),Yes,0.0,25.0,58.6,1502.65
132,8587-XYZSF,Male,No,No,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),No,0.0,67.0,50.55,3260.1
133,3091-FYHKI,Male,No,No,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,Yes,0.0,1.0,35.45,35.45
134,2372-HWUHI,Male,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,Yes,0.0,2.0,44.35,81.25
135,7799-LGRDP,Female,No,No,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),No,0.0,43.0,25.7,1188.2
136,7850-VWJUU,Female,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),No,0.0,23.0,75.0,1778.5
137,3774-VBNXY,Female,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,No,0.0,64.0,20.2,1277.75
138,6217-KDYWC,Male,No,Yes,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,No,0.0,57.0,19.6,1170.55
139,0390-DCFDQ,Female,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,Yes,1.0,1.0,70.45,70.45
140,3146-MSEGF,Female,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No,1.0,72.0,88.05,6425.65
141,4080-OGPJL,Female,No,No,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,Yes,0.0,8.0,71.15,563.65
142,1095-WGNGG,Female,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),No,0.0,61.0,101.05,5971.25
143,2636-SJDOU,Male,No,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),No,0.0,64.0,84.3,5289.05
144,1131-QQZEB,Male,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),No,1.0,71.0,23.95,1756.2
145,5716-EZXZN,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),No,0.0,65.0,99.05,6416.7
146,6837-BJYDQ,Male,No,No,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,No,0.0,3.0,19.6,61.35
147,2135-RXIHG,Male,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,0.0,1.0,45.65,45.65
148,6440-DKQGE,Male,No,Yes,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),No,0.0,30.0,64.5,1929.95
149,3466-BYAVD,Male,Yes,Yes,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,No,0.0,15.0,69.5,1071.4
150,3780-YVMFA,Female,Yes,Yes,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No,0.0,8.0,68.55,564.35
151,3874-EQOEP,Male,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,Yes,0.0,7.0,95.0,655.5
152,1679-JRFBR,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),No,0.0,70.0,108.15,7930.55
153,9073-ZZIAY,Male,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,No,0.0,62.0,86.1,5215.25
154,3077-RSNTJ,Female,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,No,0.0,6.0,19.7,113.5
155,6551-GNYDG,Female,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),No,0.0,14.0,80.9,1152.8
156,9167-APMXZ,Female,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),No,0.0,22.0,84.15,1821.95
157,2749-CTKAJ,Male,Yes,Yes,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,No,0.0,22.0,20.15,419.9
158,6371-NZYEG,Male,Yes,Yes,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,No,0.0,16.0,64.25,1024.0
159,7554-NEWDD,Male,No,No,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),No,0.0,10.0,25.7,251.6
160,8992-VONJD,Female,No,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,No,0.0,13.0,56.0,764.55
161,0867-MKZVY,Female,Yes,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,Yes,0.0,20.0,82.4,1592.35
162,4482-EWFMI,Female,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,No,0.0,2.0,69.7,135.2
163,4648-YPBTM,Male,No,No,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),No,0.0,53.0,73.9,3958.25
164,2907-ILJBN,Female,Yes,Yes,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,No,0.0,11.0,20.6,233.9
